way_id,local_hour,distanceToSchools
-116,2019-06-20 12:00:00,923.9484611915061
-117,2019-06-20 12:00:00,918.4547731821709
-118,2019-06-20 12:00:00,575.207596633438
-119,2019-06-20 12:00:00,330.93969414327347
-120,2019-06-20 12:00:00,505.8200910035975
-121,2019-06-20 12:00:00,1073.2559773791338
-122,2019-06-20 12:00:00,1168.1702404180733
-123,2019-06-20 12:00:00,1855.9094152592058
-124,2019-06-20 12:00:00,1658.2732634944077
-125,2019-06-20 12:00:00,1128.2136502926817
-126,2019-06-20 12:00:00,92.6349107468222
-127,2019-06-20 12:00:00,762.9414227865394
-128,2019-06-20 12:00:00,759.0037078192258
-129,2019-06-20 12:00:00,765.5166334547093
-130,2019-06-20 12:00:00,627.7151915169371
-131,2019-06-20 12:00:00,466.19447541411165
-132,2019-06-20 12:00:00,299.2201943020961
-133,2019-06-20 12:00:00,282.55034490626673
-134,2019-06-20 12:00:00,415.41617971817834
-135,2019-06-20 12:00:00,634.0348630230463
-136,2019-06-20 12:00:00,476.04961059450767
-137,2019-06-20 12:00:00,518.4776311249883
-138,2019-06-20 12:00:00,468.35152331768586
-139,2019-06-20 12:00:00,747.448416107749
-140,2019-06-20 12:00:00,14863.539601781304
-141,2019-06-20 12:00:00,134.42736710454366
-142,2019-06-20 12:00:00,327.7403999921566
-143,2019-06-20 12:00:00,207.82006406688708
-144,2019-06-20 12:00:00,585.0289302245006
-145,2019-06-20 12:00:00,898.8196883817316
-146,2019-06-20 12:00:00,1338.426623578096
-147,2019-06-20 12:00:00,2012.1390295208275
-148,2019-06-20 12:00:00,181.30685487380603
-149,2019-06-20 12:00:00,227.07431088095834
-150,2019-06-20 12:00:00,532.1486296644711
-151,2019-06-20 12:00:00,867.2974921394597
-152,2019-06-20 12:00:00,1683.6824573874196
-153,2019-06-20 12:00:00,820.1003341125456
-154,2019-06-20 12:00:00,222.933942514105
-155,2019-06-20 12:00:00,557.9365346050158
-156,2019-06-20 12:00:00,450.54645957468193
-157,2019-06-20 12:00:00,339.88968921495734
-158,2019-06-20 12:00:00,276.2343117551844
-159,2019-06-20 12:00:00,106.29294704021157
-160,2019-06-20 12:00:00,201.16692709018398
-161,2019-06-20 12:00:00,281.3054250802389
-162,2019-06-20 12:00:00,764.2589338847381
-163,2019-06-20 12:00:00,791.9324572954737
-164,2019-06-20 12:00:00,697.8313665181223
-165,2019-06-20 12:00:00,374.637016595026
-166,2019-06-20 12:00:00,471.51430559686247
-167,2019-06-20 12:00:00,474.87859209385937
-168,2019-06-20 12:00:00,627.0186325711123
-169,2019-06-20 12:00:00,1226.7076771950392
-170,2019-06-20 12:00:00,1106.1778690411888
-171,2019-06-20 12:00:00,7781.378057042555
-172,2019-06-20 12:00:00,6887.638259892328
-173,2019-06-20 12:00:00,3483.2082899668267
-174,2019-06-20 12:00:00,7429.118465721212
-175,2019-06-20 12:00:00,9459.28165137286
-176,2019-06-20 12:00:00,14188.480121748444
-177,2019-06-20 12:00:00,8081.997027809465
