way_id,local_hour,slope
-125,2019-06-20 12:00:00,4.947368421052632
-126,2019-06-20 12:00:00,16.029787234042555
-127,2019-06-20 12:00:00,5.571428571428571
-128,2019-06-20 12:00:00,8.23076923076923
-129,2019-06-20 12:00:00,3.0
-130,2019-06-20 12:00:00,5.136363636363637
-131,2019-06-20 12:00:00,6.7272727272727275
-132,2019-06-20 12:00:00,14.25
-133,2019-06-20 12:00:00,7.125
-134,2019-06-20 12:00:00,8.428571428571429
-135,2019-06-20 12:00:00,17.083333333333332
-136,2019-06-20 12:00:00,8.0
-137,2019-06-20 12:00:00,15.166666666666666
-138,2019-06-20 12:00:00,4.735294117647059
-139,2019-06-20 12:00:00,3.764705882352941
-140,2019-06-20 12:00:00,9.0
-141,2019-06-20 12:00:00,22.0
-142,2019-06-20 12:00:00,22.0
-143,2019-06-20 12:00:00,6.333333333333333
-144,2019-06-20 12:00:00,6.333333333333333
-145,2019-06-20 12:00:00,12.708333333333334
-146,2019-06-20 12:00:00,13.333333333333334
-147,2019-06-20 12:00:00,17.5
-148,2019-06-20 12:00:00,8.777777777777779
-149,2019-06-20 12:00:00,4.5
-150,2019-06-20 12:00:00,20.09090909090909
-151,2019-06-20 12:00:00,2.0
-152,2019-06-20 12:00:00,9.117241379310345
-153,2019-06-20 12:00:00,10.714285714285714
-154,2019-06-20 12:00:00,2.2857142857142856
-155,2019-06-20 12:00:00,13.166666666666666
-156,2019-06-20 12:00:00,4.0
-157,2019-06-20 12:00:00,7.75
-158,2019-06-20 12:00:00,3.3333333333333335
-159,2019-06-20 12:00:00,11.454545454545455
-160,2019-06-20 12:00:00,7.428571428571429
-161,2019-06-20 12:00:00,7.529411764705882
-162,2019-06-20 12:00:00,1.0
-163,2019-06-20 12:00:00,3.857142857142857
-164,2019-06-20 12:00:00,2.0
-165,2019-06-20 12:00:00,4.818181818181818
-166,2019-06-20 12:00:00,7.625
-167,2019-06-20 12:00:00,1.4
-168,2019-06-20 12:00:00,7.375
-169,2019-06-20 12:00:00,7.088235294117647
-170,2019-06-20 12:00:00,6.019417475728155
-171,2019-06-20 12:00:00,47.42372881355932
-172,2019-06-20 12:00:00,19.895238095238096
-173,2019-06-20 12:00:00,4.527272727272727
-174,2019-06-20 12:00:00,10.583333333333334
-175,2019-06-20 12:00:00,2.8333333333333335
-176,2019-06-20 12:00:00,6.333333333333333
-177,2019-06-20 12:00:00,9.512820512820513
-178,2019-06-20 12:00:00,9.623931623931623
-179,2019-06-20 12:00:00,11.04225352112676
-180,2019-06-20 12:00:00,13.0
-181,2019-06-20 12:00:00,13.423076923076923
-182,2019-06-20 12:00:00,13.423076923076923
-183,2019-06-20 12:00:00,9.169491525423728
-184,2019-06-20 12:00:00,2.0
-185,2019-06-20 12:00:00,10.71069182389937
-186,2019-06-20 12:00:00,12.514285714285714
-187,2019-06-20 12:00:00,11.92134831460674
-188,2019-06-20 12:00:00,11.933333333333334
-189,2019-06-20 12:00:00,8.875
-190,2019-06-20 12:00:00,9.538461538461538
-191,2019-06-20 12:00:00,12.444444444444445
-192,2019-06-20 12:00:00,10.7
-193,2019-06-20 12:00:00,13.857142857142858
-194,2019-06-20 12:00:00,14.8
-195,2019-06-20 12:00:00,14.518518518518519
-196,2019-06-20 12:00:00,11.75
-197,2019-06-20 12:00:00,12.853932584269662
-198,2019-06-20 12:00:00,14.871794871794872
-199,2019-06-20 12:00:00,2.4
-200,2019-06-20 12:00:00,11.023255813953488
-201,2019-06-20 12:00:00,9.333333333333334
-202,2019-06-20 12:00:00,15.937777777777777
-203,2019-06-20 12:00:00,18.659574468085108
-204,2019-06-20 12:00:00,11.616666666666667
-205,2019-06-20 12:00:00,5.131578947368421
-206,2019-06-20 12:00:00,4.177777777777778
-207,2019-06-20 12:00:00,9.461538461538462
-208,2019-06-20 12:00:00,3.2857142857142856
-209,2019-06-20 12:00:00,5.689655172413793
-210,2019-06-20 12:00:00,9.666666666666666
-211,2019-06-20 12:00:00,4.875
-212,2019-06-20 12:00:00,7.716981132075472
-213,2019-06-20 12:00:00,14.454545454545455
-214,2019-06-20 12:00:00,2.5
-215,2019-06-20 12:00:00,9.728813559322035
-216,2019-06-20 12:00:00,7.2105263157894735
-217,2019-06-20 12:00:00,7.96078431372549
-218,2019-06-20 12:00:00,5.456521739130435
-219,2019-06-20 12:00:00,1.5
-220,2019-06-20 12:00:00,14.875
-221,2019-06-20 12:00:00,14.238095238095237
-222,2019-06-20 12:00:00,9.145
-223,2019-06-20 12:00:00,15.916666666666666
-224,2019-06-20 12:00:00,13.0
-225,2019-06-20 12:00:00,6.846153846153846
-226,2019-06-20 12:00:00,6.126760563380282
-227,2019-06-20 12:00:00,10.107142857142858
-228,2019-06-20 12:00:00,9.4
-229,2019-06-20 12:00:00,14.333333333333334
-230,2019-06-20 12:00:00,6.5
-231,2019-06-20 12:00:00,5.166666666666667
-232,2019-06-20 12:00:00,4.0
-233,2019-06-20 12:00:00,10.1
-234,2019-06-20 12:00:00,8.0
-235,2019-06-20 12:00:00,8.75
-236,2019-06-20 12:00:00,11.916666666666666
-237,2019-06-20 12:00:00,10.133333333333333
-238,2019-06-20 12:00:00,1.8
-239,2019-06-20 12:00:00,8.568376068376068
-240,2019-06-20 12:00:00,5.909090909090909
-241,2019-06-20 12:00:00,11.0
-242,2019-06-20 12:00:00,14.428571428571429
-243,2019-06-20 12:00:00,7.959183673469388
-244,2019-06-20 12:00:00,7.836734693877551
-245,2019-06-20 12:00:00,7.027027027027027
-246,2019-06-20 12:00:00,8.333333333333334
