way_id,local_hour,distanceToHealths
-115,2019-06-20 12:00:00,670.1459820632612
-116,2019-06-20 12:00:00,304.65899123136916
-117,2019-06-20 12:00:00,248.04574436976344
-118,2019-06-20 12:00:00,370.3507636247145
-119,2019-06-20 12:00:00,604.2940143952596
-120,2019-06-20 12:00:00,389.19440505276964
-121,2019-06-20 12:00:00,450.9502179520233
-122,2019-06-20 12:00:00,394.697856924506
-123,2019-06-20 12:00:00,664.6529813938342
-124,2019-06-20 12:00:00,955.5097916268876
-125,2019-06-20 12:00:00,940.6070337442816
-126,2019-06-20 12:00:00,1096.1139536567052
-127,2019-06-20 12:00:00,1260.5429338936349
-128,2019-06-20 12:00:00,1258.2462265831539
-129,2019-06-20 12:00:00,434.2907264722307
-130,2019-06-20 12:00:00,888.6612598927396
-131,2019-06-20 12:00:00,888.6612598927396
-132,2019-06-20 12:00:00,485.4653991663675
-133,2019-06-20 12:00:00,369.3866984545383
-134,2019-06-20 12:00:00,156.27097194305685
-135,2019-06-20 12:00:00,126.61292784932752
-136,2019-06-20 12:00:00,1148.163919724179
-137,2019-06-20 12:00:00,1076.3181810864478
-138,2019-06-20 12:00:00,1648.3395382549684
-139,2019-06-20 12:00:00,2064.356503341268
-140,2019-06-20 12:00:00,18372.213524794028
-141,2019-06-20 12:00:00,1056.9575145224096
-142,2019-06-20 12:00:00,875.5122721448314
-143,2019-06-20 12:00:00,888.0722573452099
-144,2019-06-20 12:00:00,1860.3516745786833
-145,2019-06-20 12:00:00,2844.344417416484
-146,2019-06-20 12:00:00,3230.316764997668
-147,2019-06-20 12:00:00,752.0438688343531
-148,2019-06-20 12:00:00,1951.33982294053
-149,2019-06-20 12:00:00,1662.7444281415612
-150,2019-06-20 12:00:00,1609.6860981446234
-151,2019-06-20 12:00:00,498.2903124952928
-152,2019-06-20 12:00:00,10146.721120562428
-153,2019-06-20 12:00:00,810.2789204494809
-154,2019-06-20 12:00:00,1475.6250124551045
-155,2019-06-20 12:00:00,425.5794972865806
-156,2019-06-20 12:00:00,1629.3169239346792
-157,2019-06-20 12:00:00,1764.1929781558401
