way_id,local_hour,distanceToParks
-116,2019-06-20 12:00:00,449.7668471142938
-117,2019-06-20 12:00:00,509.5341442261189
-118,2019-06-20 12:00:00,499.6494608430956
-119,2019-06-20 12:00:00,639.4630092611075
-120,2019-06-20 12:00:00,487.14898351846364
-121,2019-06-20 12:00:00,298.1188165946608
-122,2019-06-20 12:00:00,174.52717599269073
-123,2019-06-20 12:00:00,1884.9705311108955
-124,2019-06-20 12:00:00,1290.2055945039233
-125,2019-06-20 12:00:00,696.984095188575
-126,2019-06-20 12:00:00,3.385682688600871e-11
-127,2019-06-20 12:00:00,1898.685202616379
-128,2019-06-20 12:00:00,1872.787600993489
-129,2019-06-20 12:00:00,1239.8322943434123
-130,2019-06-20 12:00:00,2700.437922302813
-131,2019-06-20 12:00:00,2683.4899013750437
-132,2019-06-20 12:00:00,90.24800088275829
-133,2019-06-20 12:00:00,141.85495784741073
-134,2019-06-20 12:00:00,265.9171802490937
-135,2019-06-20 12:00:00,413.10501217469715
-136,2019-06-20 12:00:00,364.612742750333
-137,2019-06-20 12:00:00,384.28401684098804
-138,2019-06-20 12:00:00,5718.425574355064
-139,2019-06-20 12:00:00,6175.242565306103
-140,2019-06-20 12:00:00,7685.101361642314
-141,2019-06-20 12:00:00,0.0
-142,2019-06-20 12:00:00,0.0
-143,2019-06-20 12:00:00,0.0
-144,2019-06-20 12:00:00,1065.7354979185134
-145,2019-06-20 12:00:00,2059.8967257573595
-146,2019-06-20 12:00:00,1455.0510211173746
-147,2019-06-20 12:00:00,1729.5548291825442
-148,2019-06-20 12:00:00,991.0312746157291
-149,2019-06-20 12:00:00,569.2309837051357
-150,2019-06-20 12:00:00,227.41006449606843
-151,2019-06-20 12:00:00,554.0040635889584
-152,2019-06-20 12:00:00,2103.7866733164665
-153,2019-06-20 12:00:00,969.9312469900548
-154,2019-06-20 12:00:00,1826.6311379004308
-155,2019-06-20 12:00:00,1259.0981721373194
-156,2019-06-20 12:00:00,401.54827002796145
-157,2019-06-20 12:00:00,807.8563336405128
-158,2019-06-20 12:00:00,682.8877964920115
-159,2019-06-20 12:00:00,846.0192478793209
-160,2019-06-20 12:00:00,1156.0855114302415
-161,2019-06-20 12:00:00,822.5750669591393
-162,2019-06-20 12:00:00,1008.8118133136184
-163,2019-06-20 12:00:00,693.8850687397869
-164,2019-06-20 12:00:00,1011.4713898697722
-165,2019-06-20 12:00:00,658.5129505166011
-166,2019-06-20 12:00:00,814.468891511172
-167,2019-06-20 12:00:00,435.5651846909621
-168,2019-06-20 12:00:00,2771.0128851261456
-169,2019-06-20 12:00:00,1.954636209704886e-11
-170,2019-06-20 12:00:00,8.095419355069656e-10
-171,2019-06-20 12:00:00,12170.692442401732
-172,2019-06-20 12:00:00,11282.362876646996
-173,2019-06-20 12:00:00,933.9196996434536
-174,2019-06-20 12:00:00,11822.062468993443
-175,2019-06-20 12:00:00,13833.827990012047
-176,2019-06-20 12:00:00,18508.346737733547
-177,2019-06-20 12:00:00,12443.65946025222
-178,2019-06-20 12:00:00,10869.809416747521
-179,2019-06-20 12:00:00,11053.583962973049
-180,2019-06-20 12:00:00,12503.6362597327
-181,2019-06-20 12:00:00,12547.10560053959
-182,2019-06-20 12:00:00,12256.489150891533
-183,2019-06-20 12:00:00,14418.449557271
-184,2019-06-20 12:00:00,17544.091595508373
-185,2019-06-20 12:00:00,9657.990909502789
-186,2019-06-20 12:00:00,12697.823819389134
-187,2019-06-20 12:00:00,7907.261817795771
-188,2019-06-20 12:00:00,12318.829381073238
-189,2019-06-20 12:00:00,8645.033614315833
-190,2019-06-20 12:00:00,8411.486407335955
-191,2019-06-20 12:00:00,8441.471371315325
-192,2019-06-20 12:00:00,8333.579723692512
-193,2019-06-20 12:00:00,6794.434912182469
-194,2019-06-20 12:00:00,6559.278535698587
-195,2019-06-20 12:00:00,5349.103935126612
-196,2019-06-20 12:00:00,4893.44588603394
-197,2019-06-20 12:00:00,4181.163264911035
-198,2019-06-20 12:00:00,4246.595974761169
-199,2019-06-20 12:00:00,3818.484245951736
-200,2019-06-20 12:00:00,3818.484245951736
-201,2019-06-20 12:00:00,3574.416743228388
-202,2019-06-20 12:00:00,1691.6201438054475
-203,2019-06-20 12:00:00,1832.3637777804452
-204,2019-06-20 12:00:00,2860.543117338945
-205,2019-06-20 12:00:00,2748.846694542495
-206,2019-06-20 12:00:00,3857.1981610606667
-207,2019-06-20 12:00:00,5795.370830998118
-208,2019-06-20 12:00:00,5814.006819671985
-209,2019-06-20 12:00:00,5579.9554414725135
-210,2019-06-20 12:00:00,5584.646348193609
-211,2019-06-20 12:00:00,5812.1525437094015
-212,2019-06-20 12:00:00,6070.135833265159
-213,2019-06-20 12:00:00,10119.863907008608
-214,2019-06-20 12:00:00,5659.751450335992
-215,2019-06-20 12:00:00,273.60872921883316
-216,2019-06-20 12:00:00,1101.6894093881044
-217,2019-06-20 12:00:00,1308.7661435599157
-218,2019-06-20 12:00:00,555.9655544812871
-219,2019-06-20 12:00:00,242.69924477941385
-220,2019-06-20 12:00:00,894.209591376454
-221,2019-06-20 12:00:00,1684.238822714138
-222,2019-06-20 12:00:00,1334.1492441368523
-223,2019-06-20 12:00:00,3649.374362777379
-224,2019-06-20 12:00:00,4011.7444298914393
-225,2019-06-20 12:00:00,3827.8258978275676
-226,2019-06-20 12:00:00,3998.5426585467467
-227,2019-06-20 12:00:00,4323.41060612887
-228,2019-06-20 12:00:00,4466.147425717871
-229,2019-06-20 12:00:00,4439.438389004621
-230,2019-06-20 12:00:00,3812.7621000197705
-231,2019-06-20 12:00:00,4061.2398633297485
-232,2019-06-20 12:00:00,4367.699162983654
-233,2019-06-20 12:00:00,4790.132733205641
-234,2019-06-20 12:00:00,5047.334952055522
-235,2019-06-20 12:00:00,5197.103949338366
