way_id,local_hour,population
-125,2019-06-20 12:00:00,68.42105263157895
-126,2019-06-20 12:00:00,70.16635160680529
-127,2019-06-20 12:00:00,38.1578947368421
-128,2019-06-20 12:00:00,40.76
-129,2019-06-20 12:00:00,66.5
-130,2019-06-20 12:00:00,73.91891891891892
-131,2019-06-20 12:00:00,71.5
-132,2019-06-20 12:00:00,191.78947368421052
-133,2019-06-20 12:00:00,223.31372549019608
-134,2019-06-20 12:00:00,180.56521739130434
-135,2019-06-20 12:00:00,400.8285714285714
-136,2019-06-20 12:00:00,166.0
-137,2019-06-20 12:00:00,144.1764705882353
-138,2019-06-20 12:00:00,93.82666666666667
-139,2019-06-20 12:00:00,78.89393939393939
-140,2019-06-20 12:00:00,3.0
-141,2019-06-20 12:00:00,238.59459459459458
-142,2019-06-20 12:00:00,97.5
-143,2019-06-20 12:00:00,131.70454545454547
-144,2019-06-20 12:00:00,232.1
-145,2019-06-20 12:00:00,133.1358024691358
-146,2019-06-20 12:00:00,128.7340425531915
-147,2019-06-20 12:00:00,90.56521739130434
-148,2019-06-20 12:00:00,452.6296296296296
-149,2019-06-20 12:00:00,228.0
-150,2019-06-20 12:00:00,232.92215568862275
-151,2019-06-20 12:00:00,167.5
-152,2019-06-20 12:00:00,35.81896551724138
-153,2019-06-20 12:00:00,73.2
-154,2019-06-20 12:00:00,85.0
-155,2019-06-20 12:00:00,39.0
-156,2019-06-20 12:00:00,329.6666666666667
-157,2019-06-20 12:00:00,218.21052631578948
-158,2019-06-20 12:00:00,249.1304347826087
-159,2019-06-20 12:00:00,424.85820895522386
-160,2019-06-20 12:00:00,489.963963963964
-161,2019-06-20 12:00:00,265.8703703703704
-162,2019-06-20 12:00:00,102.19444444444444
-163,2019-06-20 12:00:00,44.23076923076923
-164,2019-06-20 12:00:00,117.85714285714286
-165,2019-06-20 12:00:00,448.0
-166,2019-06-20 12:00:00,449.0
-167,2019-06-20 12:00:00,403.46666666666664
-168,2019-06-20 12:00:00,79.0
-169,2019-06-20 12:00:00,68.29464285714286
-170,2019-06-20 12:00:00,112.18897637795276
-171,2019-06-20 12:00:00,5.0
-172,2019-06-20 12:00:00,3.0
-173,2019-06-20 12:00:00,8.491803278688524
-174,2019-06-20 12:00:00,2.8333333333333335
-175,2019-06-20 12:00:00,2.0
-176,2019-06-20 12:00:00,1.0
